,cosmic_id,assay_name
906817,906817,5500994157493061613625_F09
924105,924105,5500994158987071513209_F09
1247873,1247873,5500994172383112813929_F09
1240130,1240130,5500994158987071513202_F09
905956,905956,5500994158987071513207_F09
909731,909731,5500994172383112813928_F09
753600,753600,5500994158987071513201_F09
1298358,1298358,5500994172383112813930_F09
908123,908123,5500994172948120113978_F09
1503367,1503367,5500994157493061613625_F10
906837,906837,5500994158987071513209_F10
749716,749716,5500994172383112813929_F10
1290807,1290807,5500994158987071513202_F10
910907,910907,5500994158987071513207_F10
753566,753566,5500994172383112813928_F10
1524419,1524419,5500994158987071513201_F10
909748,909748,5500994172383112813930_F10
1331037,1331037,5500994172948120113978_F10
753541,753541,5500994157493061613625_F11
906832,906832,5500994158987071513209_F11
907056,907056,5500994172383112813929_F11
908146,908146,5500994158987071513202_F11
905962,905962,5500994158987071513207_F11
1240160,1240160,5500994172383112813928_F11
1240197,1240197,5500994158987071513201_F11
909744,909744,5500994172383112813930_F11
1298537,1298537,5500994172948120113978_F11
949167,949167,5500994158987071513209_F12
907067,907067,5500994172383112813929_F12
687514,687514,5500994158987071513202_F12
905945,905945,5500994158987071513207_F12
1240153,1240153,5500994172383112813928_F12
1330991,1330991,5500994158987071513201_F12
1240217,1240217,5500994172383112813930_F12
1660036,1660036,5500994173212120213068_G01
1290730,1290730,5500994157493061613625_G01
910921,910921,5500994158987071513209_G01
753555,753555,5500994172383112813929_G01
753573,753573,5500994158987071513202_G01
908139,908139,5500994158987071513207_G01
1299050,1299050,5500994172383112813928_G01
1297439,1297439,5500994172948120113978_G01
909727,909727,5500994173212120213068_G02
905977,905977,5500994157493061613625_G02
905949,905949,5500994158987071513209_G02
906791,906791,5500994172383112813929_G02
907271,907271,5500994158987071513202_G02
925339,925339,5500994158987071513207_G02
724878,724878,5500994172383112813928_G02
1298538,1298538,5500994158987071513201_G02
687819,687819,5500994172383112813930_G02
908132,908132,5500994172948120113978_G02
909255,909255,5500994157493061613625_G03
910705,910705,5500994158987071513209_G03
910916,910916,5500994172383112813929_G03
924188,924188,5500994158987071513202_G03
905983,905983,5500994158987071513207_G03
1299059,1299059,5500994172383112813928_G03
909701,909701,5500994158987071513201_G03
908482,908482,5500994172383112813930_G03
1297438,1297438,5500994172948120113978_G03
1330942,1330942,5500994173212120213068_G04
1240131,1240131,5500994157493061613625_G04
1240122,1240122,5500994158987071513209_G04
910568,910568,5500994172383112813929_G04
753582,753582,5500994158987071513202_G04
688121,688121,5500994158987071513207_G04
909722,909722,5500994172383112813928_G04
909252,909252,5500994158987071513201_G04
908459,908459,5500994172383112813930_G04
924240,924240,5500994172948120113978_G04
1322224,1322224,5500994173212120213068_G05
1240141,1240141,5500994157493061613625_G05
910850,910850,5500994158987071513209_G05
